"epoch: 32, PSNR: 9.4412832045823, SSIM: 0.26762695777952, LPIPS: 0.5631932291421997, UCIQE: 0.5739027261734009, UIQM: inf, best PSNR: 9.4412832045823, best epoch: 32"
"epoch: 33, PSNR: 9.98884872908003, SSIM: 0.29158018629872395, LPIPS: 0.5437843789545338, UCIQE: 0.5682871341705322, UIQM: inf, best PSNR: 9.98884872908003, best epoch: 33"
"epoch: 34, PSNR: 10.25236932883102, SSIM: 0.315275195441889, LPIPS: 0.5290922261355968, UCIQE: 0.5383803844451904, UIQM: inf, best PSNR: 10.25236932883102, best epoch: 34"
"epoch: 35, PSNR: 11.08558561560813, SSIM: 0.3309548436925652, LPIPS: 0.5001987141839573, UCIQE: 0.5421107411384583, UIQM: inf, best PSNR: 11.08558561560813, best epoch: 35"
"epoch: 36, PSNR: 11.796238084857384, SSIM: 0.3678041999594549, LPIPS: 0.46822700842042986, UCIQE: 0.5124993324279785, UIQM: inf, best PSNR: 11.796238084857384, best epoch: 36"
"epoch: 37, PSNR: 13.22259210736564, SSIM: 0.39953105955311424, LPIPS: 0.4356150071272689, UCIQE: 0.5103883743286133, UIQM: inf, best PSNR: 13.22259210736564, best epoch: 37"
"epoch: 38, PSNR: 14.251637308785085, SSIM: 0.44098620501796854, LPIPS: 0.3978486590171128, UCIQE: 0.48787617683410645, UIQM: inf, best PSNR: 14.251637308785085, best epoch: 38"
"epoch: 39, PSNR: 15.521946199824301, SSIM: 0.4903369934371348, LPIPS: 0.35831892624329986, UCIQE: 0.4772615432739258, UIQM: inf, best PSNR: 15.521946199824301, best epoch: 39"
"epoch: 40, PSNR: 16.63456576058034, SSIM: 0.5371741970603385, LPIPS: 0.3264757240756174, UCIQE: 0.4622044861316681, UIQM: inf, best PSNR: 16.63456576058034, best epoch: 40"
"epoch: 41, PSNR: 17.35817868522044, SSIM: 0.5820015598548932, LPIPS: 0.30581988611917815, UCIQE: 0.4443829655647278, UIQM: inf, best PSNR: 17.35817868522044, best epoch: 41"
"epoch: 42, PSNR: 17.923227149449037, SSIM: 0.6205560765909345, LPIPS: 0.28549766322869935, UCIQE: 0.42477545142173767, UIQM: 3.658775806427002, best PSNR: 17.923227149449037, best epoch: 42"
"epoch: 43, PSNR: 18.32198063711102, SSIM: 0.646418343434173, LPIPS: 0.27130209654569626, UCIQE: 0.4280395209789276, UIQM: 3.669557809829712, best PSNR: 18.32198063711102, best epoch: 43"
"epoch: 44, PSNR: 18.292951048090217, SSIM: 0.6578328944324108, LPIPS: 0.2719956976309251, UCIQE: 0.4119110703468323, UIQM: 3.6482737064361572, best PSNR: 18.32198063711102, best epoch: 43"
"epoch: 45, PSNR: 18.367300280024498, SSIM: 0.6675832887713828, LPIPS: 0.25781872617394735, UCIQE: 0.4086398184299469, UIQM: 3.6921236515045166, best PSNR: 18.367300280024498, best epoch: 45"
"epoch: 46, PSNR: 18.68349599302485, SSIM: 0.6802336757772425, LPIPS: 0.2557860943541098, UCIQE: 0.4394948482513428, UIQM: 3.73403000831604, best PSNR: 18.68349599302485, best epoch: 46"
"epoch: 47, PSNR: 18.857073012362704, SSIM: 0.6937405520610596, LPIPS: 0.23934364921591256, UCIQE: 0.4176563322544098, UIQM: 3.693596601486206, best PSNR: 18.857073012362704, best epoch: 47"
"epoch: 48, PSNR: 18.7144519291567, SSIM: 0.6947486929679185, LPIPS: 0.23478035469738284, UCIQE: 0.4073261022567749, UIQM: 3.6893177032470703, best PSNR: 18.857073012362704, best epoch: 47"
"epoch: 49, PSNR: 19.07780989100424, SSIM: 0.7065702834156122, LPIPS: 0.22294831552197425, UCIQE: 0.4199381172657013, UIQM: 3.709862470626831, best PSNR: 19.07780989100424, best epoch: 49"
"epoch: 50, PSNR: 19.13239996620778, SSIM: 0.7107114229309425, LPIPS: 0.219924143191134, UCIQE: 0.40625470876693726, UIQM: 3.7046146392822266, best PSNR: 19.13239996620778, best epoch: 50"
"epoch: 51, PSNR: 19.23815192533343, SSIM: 0.7158377793397797, LPIPS: 0.21565296224663766, UCIQE: 0.414592444896698, UIQM: 3.6954572200775146, best PSNR: 19.23815192533343, best epoch: 51"
"epoch: 52, PSNR: 19.38354383961538, SSIM: 0.721933084257533, LPIPS: 0.20844003256787075, UCIQE: 0.41459155082702637, UIQM: 3.7112622261047363, best PSNR: 19.38354383961538, best epoch: 52"
"epoch: 53, PSNR: 19.235345861884984, SSIM: 0.7267410681488808, LPIPS: 0.22181448792473654, UCIQE: 0.4051380455493927, UIQM: 3.709847927093506, best PSNR: 19.38354383961538, best epoch: 52"
"epoch: 54, PSNR: 19.368194837248726, SSIM: 0.7302413556013214, LPIPS: 0.2105189057046108, UCIQE: 0.4341758191585541, UIQM: 3.73862886428833, best PSNR: 19.38354383961538, best epoch: 52"
"epoch: 55, PSNR: 19.23944044648931, SSIM: 0.7319914745480827, LPIPS: 0.21808426617906335, UCIQE: 0.40110036730766296, UIQM: 3.7028932571411133, best PSNR: 19.38354383961538, best epoch: 52"
"epoch: 56, PSNR: 19.326145064964724, SSIM: 0.7324392279882109, LPIPS: 0.20500089839268265, UCIQE: 0.3997330963611603, UIQM: 3.7167906761169434, best PSNR: 19.38354383961538, best epoch: 52"
"epoch: 57, PSNR: 19.50992592800869, SSIM: 0.742103831151898, LPIPS: 0.20030721687199024, UCIQE: 0.4238210618495941, UIQM: 3.725937843322754, best PSNR: 19.50992592800869, best epoch: 57"
"epoch: 58, PSNR: 19.48579259936729, SSIM: 0.7424742458911424, LPIPS: 0.20040554009126813, UCIQE: 0.4085182547569275, UIQM: 3.706012487411499, best PSNR: 19.50992592800869, best epoch: 57"
"epoch: 59, PSNR: 19.51693879888299, SSIM: 0.7424188229475128, LPIPS: 0.1902742749184705, UCIQE: 0.41907674074172974, UIQM: 3.7275397777557373, best PSNR: 19.51693879888299, best epoch: 59"
"epoch: 60, PSNR: 19.683104632945543, SSIM: 0.7472880971565675, LPIPS: 0.18872196386369428, UCIQE: 0.4210841655731201, UIQM: 3.7269346714019775, best PSNR: 19.683104632945543, best epoch: 60"
"epoch: 61, PSNR: 19.80925490347187, SSIM: 0.7512978168016069, LPIPS: 0.18988448850224526, UCIQE: 0.43178173899650574, UIQM: 3.7424895763397217, best PSNR: 19.80925490347187, best epoch: 61"
"epoch: 62, PSNR: 19.773278954323757, SSIM: 0.750192727265733, LPIPS: 0.18524270136369747, UCIQE: 0.40454864501953125, UIQM: 3.721682071685791, best PSNR: 19.80925490347187, best epoch: 61"
"epoch: 63, PSNR: 19.87011279416888, SSIM: 0.7538269878773207, LPIPS: 0.1840071849776118, UCIQE: 0.41770505905151367, UIQM: 3.720590353012085, best PSNR: 19.87011279416888, best epoch: 63"
"epoch: 64, PSNR: 19.78722120135018, SSIM: 0.7563144758845983, LPIPS: 0.19234394265359708, UCIQE: 0.40389952063560486, UIQM: 3.720907211303711, best PSNR: 19.87011279416888, best epoch: 63"
