Model Parameters: 4,356,875
Trainable Parameters: 4,356,875
"Epoch 30 || PSNR: 13.6220 (best 13.6403 @ 15) | SSIM: 0.4455 (best 0.4462 @ 6) | Loss: 297.5635 (best 296.2466 @ 25) | UCIQE: 0.1278 | UIQM: 4.0633"
"Epoch 31 || PSNR: 13.6202 (best 13.6403 @ 15) | SSIM: 0.4452 (best 0.4462 @ 6) | Loss: 297.3540 (best 296.2466 @ 25) | UCIQE: 0.1305 | UIQM: 4.0357"
"Epoch 32 || PSNR: 13.6172 (best 13.6403 @ 15) | SSIM: 0.4453 (best 0.4462 @ 6) | Loss: 297.4111 (best 296.2466 @ 25) | UCIQE: 0.1294 | UIQM: 4.0075"
"Epoch 33 || PSNR: 13.5991 (best 13.6403 @ 15) | SSIM: 0.4447 (best 0.4462 @ 6) | Loss: 299.0143 (best 296.2466 @ 25) | UCIQE: 0.1345 | UIQM: 4.0266"
"Epoch 34 || PSNR: 13.6269 (best 13.6403 @ 15) | SSIM: 0.4457 (best 0.4462 @ 6) | Loss: 297.1725 (best 296.2466 @ 25) | UCIQE: 0.1303 | UIQM: 4.0566"
"Epoch 35 || PSNR: 13.4863 (best 13.6403 @ 15) | SSIM: 0.4431 (best 0.4462 @ 6) | Loss: 305.6950 (best 296.2466 @ 25) | UCIQE: 0.1274 | UIQM: 4.0636"
"Epoch 36 || PSNR: 13.5082 (best 13.6403 @ 15) | SSIM: 0.4436 (best 0.4462 @ 6) | Loss: 304.2923 (best 296.2466 @ 25) | UCIQE: 0.1261 | UIQM: 4.0559"
"Epoch 37 || PSNR: 13.6205 (best 13.6403 @ 15) | SSIM: 0.4453 (best 0.4462 @ 6) | Loss: 297.0348 (best 296.2466 @ 25) | UCIQE: 0.1298 | UIQM: 4.0369"
"Epoch 38 || PSNR: 13.6401 (best 13.6403 @ 15) | SSIM: 0.4454 (best 0.4462 @ 6) | Loss: 295.8040 (best 295.8040 @ 38) | UCIQE: 0.1304 | UIQM: 4.0778"
"Epoch 39 || PSNR: 13.6071 (best 13.6403 @ 15) | SSIM: 0.4450 (best 0.4462 @ 6) | Loss: 297.7935 (best 295.8040 @ 38) | UCIQE: 0.1289 | UIQM: 4.0400"
"Epoch 40 || PSNR: 13.6007 (best 13.6403 @ 15) | SSIM: 0.4451 (best 0.4462 @ 6) | Loss: 297.9471 (best 295.8040 @ 38) | UCIQE: 0.1295 | UIQM: 4.0303"
"Epoch 41 || PSNR: 13.6583 (best 13.6583 @ 41) | SSIM: 0.4462 (best 0.4462 @ 41) | Loss: 294.5327 (best 294.5327 @ 41) | UCIQE: 0.1355 | UIQM: 4.0303"
"Epoch 42 || PSNR: 13.6518 (best 13.6583 @ 41) | SSIM: 0.4459 (best 0.4462 @ 41) | Loss: 295.0993 (best 294.5327 @ 41) | UCIQE: 0.1303 | UIQM: 4.0132"
"Epoch 43 || PSNR: 13.5643 (best 13.6583 @ 41) | SSIM: 0.4443 (best 0.4462 @ 41) | Loss: 300.1681 (best 294.5327 @ 41) | UCIQE: 0.1284 | UIQM: 4.0491"
