"epoch: 1, PSNR: 5.8941001597415195, SSIM: 0.012078051166569688, LPIPS: 0.8118962270490239, UCIQE: 0.3643091320991516, UIQM: inf, best PSNR: 5.8941001597415195, best epoch: 1"
"epoch: 2, PSNR: 5.903223493126001, SSIM: 0.013594607031234445, LPIPS: 0.7562569132011928, UCIQE: 0.3715769648551941, UIQM: inf, best PSNR: 5.903223493126001, best epoch: 2"
"epoch: 3, PSNR: 5.933132739549272, SSIM: 0.015454955421273042, LPIPS: 0.7483039638969335, UCIQE: 0.37575772404670715, UIQM: inf, best PSNR: 5.933132739549272, best epoch: 3"
"epoch: 4, PSNR: 5.959406314271219, SSIM: 0.01699034152604807, LPIPS: 0.7413771962851621, UCIQE: 0.37095218896865845, UIQM: inf, best PSNR: 5.959406314271219, best epoch: 4"
"epoch: 5, PSNR: 5.9928481766347135, SSIM: 0.01920577278622332, LPIPS: 0.7347190072027485, UCIQE: 0.372198224067688, UIQM: inf, best PSNR: 5.9928481766347135, best epoch: 5"
"epoch: 6, PSNR: 6.016874077614774, SSIM: 0.020886583619991714, LPIPS: 0.7287459761908884, UCIQE: 0.3719603419303894, UIQM: inf, best PSNR: 6.016874077614774, best epoch: 6"
"epoch: 7, PSNR: 6.036115397228284, SSIM: 0.02254321524255982, LPIPS: 0.7253181820505121, UCIQE: 0.3729513883590698, UIQM: inf, best PSNR: 6.036115397228284, best epoch: 7"
"epoch: 8, PSNR: 6.075510172361739, SSIM: 0.026007986371143814, LPIPS: 0.725709891721104, UCIQE: 0.3808138966560364, UIQM: inf, best PSNR: 6.075510172361739, best epoch: 8"
"epoch: 9, PSNR: 6.074523422155488, SSIM: 0.025826612827525044, LPIPS: 0.7199625526921133, UCIQE: 0.3782798647880554, UIQM: inf, best PSNR: 6.075510172361739, best epoch: 8"
"epoch: 10, PSNR: 6.066338030140051, SSIM: 0.025130437472521253, LPIPS: 0.718305753857902, UCIQE: 0.37607541680336, UIQM: inf, best PSNR: 6.075510172361739, best epoch: 8"
"epoch: 11, PSNR: 6.074221940522783, SSIM: 0.024858701639295964, LPIPS: 0.7200997224014797, UCIQE: 0.38020360469818115, UIQM: inf, best PSNR: 6.075510172361739, best epoch: 8"
"epoch: 12, PSNR: 6.124372833230522, SSIM: 0.028988719923065953, LPIPS: 0.7145332365893247, UCIQE: 0.3901025056838989, UIQM: inf, best PSNR: 6.124372833230522, best epoch: 12"
"epoch: 13, PSNR: 6.139028747430008, SSIM: 0.030349955485945337, LPIPS: 0.712819547465678, UCIQE: 0.3965640068054199, UIQM: inf, best PSNR: 6.139028747430008, best epoch: 13"
"epoch: 14, PSNR: 6.2740445913893454, SSIM: 0.03886995097266489, LPIPS: 0.6913712366243426, UCIQE: 0.45318329334259033, UIQM: inf, best PSNR: 6.2740445913893454, best epoch: 14"
"epoch: 15, PSNR: 6.843383499745572, SSIM: 0.11112377277753327, LPIPS: 0.6727826729249419, UCIQE: 0.5518748760223389, UIQM: inf, best PSNR: 6.843383499745572, best epoch: 15"
"epoch: 16, PSNR: 7.2615714341067195, SSIM: 0.12783656859498346, LPIPS: 0.6492192571082812, UCIQE: 0.5214299559593201, UIQM: inf, best PSNR: 7.2615714341067195, best epoch: 16"
"epoch: 17, PSNR: 7.122876178012805, SSIM: 0.15986141261090053, LPIPS: 0.6428766170244539, UCIQE: 0.5336440801620483, UIQM: inf, best PSNR: 7.2615714341067195, best epoch: 16"
"epoch: 18, PSNR: 7.185196608639835, SSIM: 0.16645904437879497, LPIPS: 0.6368165766255239, UCIQE: 0.5295973420143127, UIQM: inf, best PSNR: 7.2615714341067195, best epoch: 16"
"epoch: 19, PSNR: 7.401453907570143, SSIM: 0.16605706044127433, LPIPS: 0.6328701962915699, UCIQE: 0.5239008665084839, UIQM: inf, best PSNR: 7.401453907570143, best epoch: 19"
"epoch: 20, PSNR: 7.394903477658047, SSIM: 0.17238065165080382, LPIPS: 0.6309352453505055, UCIQE: 0.5236478447914124, UIQM: inf, best PSNR: 7.401453907570143, best epoch: 19"
"epoch: 21, PSNR: 7.622102153435182, SSIM: 0.16458187695969356, LPIPS: 0.6245819450764174, UCIQE: 0.5149250626564026, UIQM: inf, best PSNR: 7.622102153435182, best epoch: 21"
"epoch: 22, PSNR: 7.6693870137246805, SSIM: 0.16674892009978884, LPIPS: 0.6208582229158851, UCIQE: 0.5156480073928833, UIQM: inf, best PSNR: 7.6693870137246805, best epoch: 22"
"epoch: 23, PSNR: 7.749047981219345, SSIM: 0.16326155036352993, LPIPS: 0.6195551726255524, UCIQE: 0.5125328898429871, UIQM: inf, best PSNR: 7.749047981219345, best epoch: 23"
"epoch: 24, PSNR: 7.634506520260586, SSIM: 0.17467182531450573, LPIPS: 0.6183756000540229, UCIQE: 0.5226642489433289, UIQM: inf, best PSNR: 7.749047981219345, best epoch: 23"
"epoch: 25, PSNR: 7.667361302322217, SSIM: 0.17448170621241077, LPIPS: 0.6156951922379182, UCIQE: 0.5232723951339722, UIQM: inf, best PSNR: 7.749047981219345, best epoch: 23"
"epoch: 26, PSNR: 7.732946229784676, SSIM: 0.17212517442328207, LPIPS: 0.6130400624837768, UCIQE: 0.521334171295166, UIQM: inf, best PSNR: 7.749047981219345, best epoch: 23"
"epoch: 27, PSNR: 7.697638983137153, SSIM: 0.1766725816669759, LPIPS: 0.612412980098403, UCIQE: 0.5256022214889526, UIQM: inf, best PSNR: 7.749047981219345, best epoch: 23"
