"epoch: 1, PSNR: 15.974862945213747, SSIM: 0.6204454962457164, LPIPS: 0.35109322660424735, UCIQE: 0.3397047817707062, UIQM: 3.72782826423645, best PSNR: 15.974862945213747, best epoch: 1"
"epoch: 2, PSNR: 17.64087969533513, SSIM: 0.7104962829793438, LPIPS: 0.254424695218547, UCIQE: 0.38176247477531433, UIQM: 3.762932538986206, best PSNR: 17.64087969533513, best epoch: 2"
"epoch: 3, PSNR: 18.47191645590107, SSIM: 0.7453340077668094, LPIPS: 0.2174515046932724, UCIQE: 0.3936381936073303, UIQM: 3.760477066040039, best PSNR: 18.47191645590107, best epoch: 3"
"epoch: 4, PSNR: 18.982933280173313, SSIM: 0.7684678649634458, LPIPS: 0.19104667233951975, UCIQE: 0.39654120802879333, UIQM: 3.747215986251831, best PSNR: 18.982933280173313, best epoch: 4"
"epoch: 5, PSNR: 19.264717423514035, SSIM: 0.7787063530321872, LPIPS: 0.1798423539554135, UCIQE: 0.4032372534275055, UIQM: 3.758847713470459, best PSNR: 19.264717423514035, best epoch: 5"
"epoch: 6, PSNR: 19.441112818342916, SSIM: 0.7889689823214927, LPIPS: 0.17016544343715304, UCIQE: 0.4018499553203583, UIQM: 3.7581682205200195, best PSNR: 19.441112818342916, best epoch: 6"
"epoch: 7, PSNR: 19.688959368159264, SSIM: 0.798901958411999, LPIPS: 0.16228076966291063, UCIQE: 0.40516987442970276, UIQM: 3.7511937618255615, best PSNR: 19.688959368159264, best epoch: 7"
"epoch: 8, PSNR: 19.90802159470119, SSIM: 0.8045458110530724, LPIPS: 0.15863220778743872, UCIQE: 0.41599929332733154, UIQM: 3.7608609199523926, best PSNR: 19.90802159470119, best epoch: 8"
"epoch: 9, PSNR: 19.9362685707178, SSIM: 0.8119469988212157, LPIPS: 0.15534524711665143, UCIQE: 0.4125218391418457, UIQM: 3.7622263431549072, best PSNR: 19.9362685707178, best epoch: 9"
"epoch: 10, PSNR: 20.193007340591944, SSIM: 0.8156606441133478, LPIPS: 0.15045962135276097, UCIQE: 0.415677934885025, UIQM: 3.7545063495635986, best PSNR: 20.193007340591944, best epoch: 10"
"epoch: 11, PSNR: 20.311795309688268, SSIM: 0.8232785128475575, LPIPS: 0.14749520330616597, UCIQE: 0.4195235073566437, UIQM: 3.7605435848236084, best PSNR: 20.311795309688268, best epoch: 11"
"epoch: 12, PSNR: 20.101534114794784, SSIM: 0.8245188413041361, LPIPS: 0.1461529221092717, UCIQE: 0.40977734327316284, UIQM: 3.779522180557251, best PSNR: 20.311795309688268, best epoch: 11"
"epoch: 13, PSNR: 20.370458077848628, SSIM: 0.8292527814929405, LPIPS: 0.14660203071792474, UCIQE: 0.4124050736427307, UIQM: 3.7529618740081787, best PSNR: 20.370458077848628, best epoch: 13"
"epoch: 14, PSNR: 20.295792333195717, SSIM: 0.8227177315883423, LPIPS: 0.1458956307072318, UCIQE: 0.40917181968688965, UIQM: 3.747539520263672, best PSNR: 20.370458077848628, best epoch: 13"
"epoch: 15, PSNR: 20.567285762744003, SSIM: 0.8340782288754924, LPIPS: 0.13971871840819883, UCIQE: 0.4202665686607361, UIQM: 3.7544727325439453, best PSNR: 20.567285762744003, best epoch: 15"
"epoch: 16, PSNR: 20.59900621349892, SSIM: 0.8396119307935908, LPIPS: 0.13859519241063784, UCIQE: 0.42954549193382263, UIQM: 3.7720932960510254, best PSNR: 20.59900621349892, best epoch: 16"
"epoch: 17, PSNR: 20.667289883902903, SSIM: 0.83730466312237, LPIPS: 0.14035758351007205, UCIQE: 0.4199153184890747, UIQM: 3.747939348220825, best PSNR: 20.667289883902903, best epoch: 17"
"epoch: 18, PSNR: 20.60561325844754, SSIM: 0.8411122821689991, LPIPS: 0.13539331904455518, UCIQE: 0.41968435049057007, UIQM: 3.7717137336730957, best PSNR: 20.667289883902903, best epoch: 17"
"epoch: 19, PSNR: 20.734873482350554, SSIM: 0.8391828369558527, LPIPS: 0.136781254301915, UCIQE: 0.4220546782016754, UIQM: 3.769761323928833, best PSNR: 20.734873482350554, best epoch: 19"
"epoch: 20, PSNR: 20.776321464710023, SSIM: 0.8469599284482806, LPIPS: 0.1331439335527045, UCIQE: 0.42204225063323975, UIQM: 3.744678258895874, best PSNR: 20.776321464710023, best epoch: 20"
"epoch: 21, PSNR: 20.914774101771666, SSIM: 0.8502298640401176, LPIPS: 0.12982094421815338, UCIQE: 0.4345609247684479, UIQM: 3.756155252456665, best PSNR: 20.914774101771666, best epoch: 21"
"epoch: 22, PSNR: 20.78837782613347, SSIM: 0.8451779920063661, LPIPS: 0.13547065962901275, UCIQE: 0.41556134819984436, UIQM: 3.758068084716797, best PSNR: 20.914774101771666, best epoch: 21"
"epoch: 23, PSNR: 20.90372407034542, SSIM: 0.8518340601010269, LPIPS: 0.13035620284381877, UCIQE: 0.4272098243236542, UIQM: 3.7582826614379883, best PSNR: 20.914774101771666, best epoch: 21"
"epoch: 24, PSNR: 20.642521515321196, SSIM: 0.8455157018779369, LPIPS: 0.1352252077855421, UCIQE: 0.40360715985298157, UIQM: 3.7475779056549072, best PSNR: 20.914774101771666, best epoch: 21"
"epoch: 25, PSNR: 21.198178687792147, SSIM: 0.8563504286026686, LPIPS: 0.12584981071145346, UCIQE: 0.4305048882961273, UIQM: 3.7522222995758057, best PSNR: 21.198178687792147, best epoch: 25"
"epoch: 26, PSNR: 21.020176341024676, SSIM: 0.854705791794852, LPIPS: 0.12882880954427667, UCIQE: 0.42441755533218384, UIQM: 3.7661850452423096, best PSNR: 21.198178687792147, best epoch: 25"
"epoch: 27, PSNR: 20.815296719583234, SSIM: 0.8505495016494494, LPIPS: 0.12979355236787474, UCIQE: 0.41162770986557007, UIQM: 3.7809488773345947, best PSNR: 21.198178687792147, best epoch: 25"
"epoch: 28, PSNR: 21.00788193606259, SSIM: 0.8548269486159421, LPIPS: 0.1284158801178584, UCIQE: 0.41307035088539124, UIQM: 3.7600467205047607, best PSNR: 21.198178687792147, best epoch: 25"
"epoch: 29, PSNR: 21.250216366199965, SSIM: 0.8604160199004612, LPIPS: 0.12282879947778884, UCIQE: 0.42219868302345276, UIQM: 3.7515008449554443, best PSNR: 21.250216366199965, best epoch: 29"
"epoch: 30, PSNR: 21.066184226046786, SSIM: 0.8602200143792657, LPIPS: 0.12413022420212125, UCIQE: 0.4281717538833618, UIQM: 3.7595560550689697, best PSNR: 21.250216366199965, best epoch: 29"
"epoch: 31, PSNR: 21.229800235019642, SSIM: 0.8583804529704405, LPIPS: 0.12410406898079293, UCIQE: 0.4296153783798218, UIQM: 3.758878231048584, best PSNR: 21.250216366199965, best epoch: 29"
"epoch: 32, PSNR: 20.843679449531468, SSIM: 0.8540882160154621, LPIPS: 0.13185947187496036, UCIQE: 0.41432616114616394, UIQM: 3.7464685440063477, best PSNR: 21.250216366199965, best epoch: 29"
"epoch: 33, PSNR: 21.42088045698873, SSIM: 0.8654769953717006, LPIPS: 0.1228181929484512, UCIQE: 0.4290305972099304, UIQM: 3.754509687423706, best PSNR: 21.42088045698873, best epoch: 33"
"epoch: 34, PSNR: 21.24252876538909, SSIM: 0.8618201204899991, LPIPS: 0.12316353472598483, UCIQE: 0.42399275302886963, UIQM: 3.730372428894043, best PSNR: 21.42088045698873, best epoch: 33"
"epoch: 35, PSNR: 21.517351954170827, SSIM: 0.8646780091725038, LPIPS: 0.11896608041578464, UCIQE: 0.4273638427257538, UIQM: 3.7546746730804443, best PSNR: 21.517351954170827, best epoch: 35"
"epoch: 36, PSNR: 21.331801393058864, SSIM: 0.8617597188842431, LPIPS: 0.12381682808646995, UCIQE: 0.41666296124458313, UIQM: 3.7546281814575195, best PSNR: 21.517351954170827, best epoch: 35"
"epoch: 37, PSNR: 21.17495401789633, SSIM: 0.862392880273669, LPIPS: 0.12518566830104658, UCIQE: 0.4164116680622101, UIQM: 3.7424211502075195, best PSNR: 21.517351954170827, best epoch: 35"
"epoch: 38, PSNR: 21.019281162304825, SSIM: 0.8597500317552117, LPIPS: 0.12655031789889495, UCIQE: 0.40869295597076416, UIQM: 3.745410442352295, best PSNR: 21.517351954170827, best epoch: 35"
"epoch: 39, PSNR: 21.41222272294291, SSIM: 0.8687843921479215, LPIPS: 0.11975363453619936, UCIQE: 0.42202073335647583, UIQM: 3.751725435256958, best PSNR: 21.517351954170827, best epoch: 35"
"epoch: 40, PSNR: 21.470318247762957, SSIM: 0.8688054399543934, LPIPS: 0.12009553335021052, UCIQE: 0.41898003220558167, UIQM: 3.7413694858551025, best PSNR: 21.517351954170827, best epoch: 35"
"epoch: 41, PSNR: 21.45256256789304, SSIM: 0.8681173170550486, LPIPS: 0.11874380611469236, UCIQE: 0.4229200482368469, UIQM: 3.7548296451568604, best PSNR: 21.517351954170827, best epoch: 35"
"epoch: 42, PSNR: 21.517797898710445, SSIM: 0.8718496788753552, LPIPS: 0.11812006711457552, UCIQE: 0.43404319882392883, UIQM: 3.742722511291504, best PSNR: 21.517797898710445, best epoch: 42"
"epoch: 43, PSNR: 21.294566465227792, SSIM: 0.8636966039625447, LPIPS: 0.12521095812488137, UCIQE: 0.4083777070045471, UIQM: 3.7529513835906982, best PSNR: 21.517797898710445, best epoch: 42"
"epoch: 44, PSNR: 21.639212201150617, SSIM: 0.8730197073368544, LPIPS: 0.11776875302697835, UCIQE: 0.4375711977481842, UIQM: 3.7479734420776367, best PSNR: 21.639212201150617, best epoch: 44"
"epoch: 45, PSNR: 21.490888102670734, SSIM: 0.8685984249865071, LPIPS: 0.1195103544741869, UCIQE: 0.41548603773117065, UIQM: 3.7453322410583496, best PSNR: 21.639212201150617, best epoch: 44"
"epoch: 46, PSNR: 21.41677846801415, SSIM: 0.8675780972737944, LPIPS: 0.12130660886007748, UCIQE: 0.41763460636138916, UIQM: 3.7446954250335693, best PSNR: 21.639212201150617, best epoch: 44"
"epoch: 47, PSNR: 21.51942156673817, SSIM: 0.8708029938547799, LPIPS: 0.12194933746470495, UCIQE: 0.4157353639602661, UIQM: 3.7341651916503906, best PSNR: 21.639212201150617, best epoch: 44"
"epoch: 48, PSNR: 21.493881879227885, SSIM: 0.8711704839481397, LPIPS: 0.11622890637496884, UCIQE: 0.41732150316238403, UIQM: 3.7662062644958496, best PSNR: 21.639212201150617, best epoch: 44"
"epoch: 49, PSNR: 21.391158993324538, SSIM: 0.8703634846076537, LPIPS: 0.12666446753264812, UCIQE: 0.41997623443603516, UIQM: 3.7268595695495605, best PSNR: 21.639212201150617, best epoch: 44"
"epoch: 50, PSNR: 21.480008296752246, SSIM: 0.8721667199992063, LPIPS: 0.11964001774453045, UCIQE: 0.4204411804676056, UIQM: 3.762894630432129, best PSNR: 21.639212201150617, best epoch: 44"
"epoch: 51, PSNR: 21.883654990892733, SSIM: 0.8746703340766135, LPIPS: 0.11916881975498092, UCIQE: 0.42411428689956665, UIQM: 3.7436413764953613, best PSNR: 21.883654990892733, best epoch: 51"
"epoch: 52, PSNR: 21.652424512284526, SSIM: 0.874173336484459, LPIPS: 0.11448621952885323, UCIQE: 0.4163453280925751, UIQM: 3.7505569458007812, best PSNR: 21.883654990892733, best epoch: 51"
"epoch: 53, PSNR: 21.695888433563574, SSIM: 0.8741741629129045, LPIPS: 0.11630745604634285, UCIQE: 0.43519189953804016, UIQM: 3.732006311416626, best PSNR: 21.883654990892733, best epoch: 51"
"epoch: 54, PSNR: 21.755277569374343, SSIM: 0.87624997101473, LPIPS: 0.11543306783678826, UCIQE: 0.4246824383735657, UIQM: 3.7289724349975586, best PSNR: 21.883654990892733, best epoch: 51"
"epoch: 55, PSNR: 21.92459846882338, SSIM: 0.8795631193043141, LPIPS: 0.11235542285643267, UCIQE: 0.4327520430088043, UIQM: 3.7423198223114014, best PSNR: 21.92459846882338, best epoch: 55"
"epoch: 56, PSNR: 21.80509181504839, SSIM: 0.8762067737204305, LPIPS: 0.11567783020855335, UCIQE: 0.428722083568573, UIQM: 3.755882978439331, best PSNR: 21.92459846882338, best epoch: 55"
"epoch: 57, PSNR: 21.304750828260786, SSIM: 0.8675042752469524, LPIPS: 0.11768182760544038, UCIQE: 0.4041111469268799, UIQM: 3.756601095199585, best PSNR: 21.92459846882338, best epoch: 55"
"epoch: 58, PSNR: 21.57608663366082, SSIM: 0.8693167506978753, LPIPS: 0.12177025430490461, UCIQE: 0.4131627380847931, UIQM: 3.7515273094177246, best PSNR: 21.92459846882338, best epoch: 55"
"epoch: 59, PSNR: 21.75924073980096, SSIM: 0.87476064582889, LPIPS: 0.11491915324095929, UCIQE: 0.4175388514995575, UIQM: 3.7296133041381836, best PSNR: 21.92459846882338, best epoch: 55"
"epoch: 60, PSNR: 21.792693320285068, SSIM: 0.8773374175757505, LPIPS: 0.11504483176918512, UCIQE: 0.4233148992061615, UIQM: 3.725370407104492, best PSNR: 21.92459846882338, best epoch: 55"
"epoch: 61, PSNR: 21.946168374479488, SSIM: 0.8787299374516091, LPIPS: 0.11002014516695832, UCIQE: 0.4322032630443573, UIQM: 3.762434720993042, best PSNR: 21.946168374479488, best epoch: 61"
"epoch: 62, PSNR: 21.669913838418683, SSIM: 0.8730636861886871, LPIPS: 0.12218762327278598, UCIQE: 0.41507506370544434, UIQM: 3.763005018234253, best PSNR: 21.946168374479488, best epoch: 61"
"epoch: 63, PSNR: 21.716567435961093, SSIM: 0.8759733117028569, LPIPS: 0.11759150668643834, UCIQE: 0.4098849296569824, UIQM: 3.733069658279419, best PSNR: 21.946168374479488, best epoch: 61"
"epoch: 64, PSNR: 22.08691767360387, SSIM: 0.8832780310277188, LPIPS: 0.11005095467808541, UCIQE: 0.43963512778282166, UIQM: 3.770667314529419, best PSNR: 22.08691767360387, best epoch: 64"
"epoch: 65, PSNR: 22.21329507934913, SSIM: 0.882810719227523, LPIPS: 0.11046712242820289, UCIQE: 0.42839673161506653, UIQM: 3.7431230545043945, best PSNR: 22.21329507934913, best epoch: 65"
"epoch: 66, PSNR: 21.642849493562505, SSIM: 0.8773384522855951, LPIPS: 0.12061739365538854, UCIQE: 0.43363767862319946, UIQM: 3.73461651802063, best PSNR: 22.21329507934913, best epoch: 65"
"epoch: 67, PSNR: 22.019553966736524, SSIM: 0.8802582447448474, LPIPS: 0.1115175715825531, UCIQE: 0.4193117916584015, UIQM: 3.7330925464630127, best PSNR: 22.21329507934913, best epoch: 65"
