"epoch: 1, PSNR: 19.18000889896007, SSIM: 0.7929949512642421, LPIPS: 0.1925112216660146, UCIQE: 0.41115814447402954, UIQM: 3.764631748199463, best PSNR: 19.18000889896007, best epoch: 1"
"epoch: 2, PSNR: 19.80266107066294, SSIM: 0.8161757896455486, LPIPS: 0.16499637364504044, UCIQE: 0.4111265540122986, UIQM: 3.7928545475006104, best PSNR: 19.80266107066294, best epoch: 2"
"epoch: 3, PSNR: 20.354250629296462, SSIM: 0.8417891960465507, LPIPS: 0.15412706505046803, UCIQE: 0.4213399291038513, UIQM: 3.7716338634490967, best PSNR: 20.354250629296462, best epoch: 3"
"epoch: 4, PSNR: 20.313344419672248, SSIM: 0.8460506053453081, LPIPS: 0.15084024162942103, UCIQE: 0.40679097175598145, UIQM: 3.7668066024780273, best PSNR: 20.354250629296462, best epoch: 3"
"epoch: 5, PSNR: 20.685226847616473, SSIM: 0.8612151454004009, LPIPS: 0.13639911871110455, UCIQE: 0.4201084077358246, UIQM: 3.7803866863250732, best PSNR: 20.685226847616473, best epoch: 5"
"epoch: 6, PSNR: 20.807559731301296, SSIM: 0.8688733028561881, LPIPS: 0.13147367972336457, UCIQE: 0.4137638807296753, UIQM: 3.770043134689331, best PSNR: 20.807559731301296, best epoch: 6"
"epoch: 7, PSNR: 20.988668163170974, SSIM: 0.8715631057707112, LPIPS: 0.13510649366660066, UCIQE: 0.41021183133125305, UIQM: 3.7819669246673584, best PSNR: 20.988668163170974, best epoch: 7"
"epoch: 8, PSNR: 20.932418019584055, SSIM: 0.8677232968673277, LPIPS: 0.13357325530286585, UCIQE: 0.4122343957424164, UIQM: 3.7591755390167236, best PSNR: 20.988668163170974, best epoch: 7"
"epoch: 9, PSNR: 21.283061638307036, SSIM: 0.8762979078828619, LPIPS: 0.12839627960759603, UCIQE: 0.41727566719055176, UIQM: 3.7669389247894287, best PSNR: 21.283061638307036, best epoch: 9"
"epoch: 10, PSNR: 21.350493795416327, SSIM: 0.8815690680836024, LPIPS: 0.1312287485833918, UCIQE: 0.4271202087402344, UIQM: 3.766165018081665, best PSNR: 21.350493795416327, best epoch: 10"
"epoch: 11, PSNR: 21.037429873862962, SSIM: 0.876191898678126, LPIPS: 0.13014093238148797, UCIQE: 0.40785276889801025, UIQM: 3.768301010131836, best PSNR: 21.350493795416327, best epoch: 10"
